Latitude,Longitude,Pays
-21.5475709,-50.7100847,Brazil
-21.5608234,115.963289,Australia
-21.5715335,-46.3183352,Brazil
-21.5731398,-55.2161613,Brazil
-21.5830483,149.2530742,Australia
-21.5856482,-44.7123985,Brazil
-21.6033411,-51.1613556,Brazil
-21.606495,140.3980234,Australia
-21.6125437,-47.1843811,Brazil
-21.6149038,-51.1791627,Brazil
-21.6439013,-54.7679763,Brazil
-21.7339538,-45.55419,Brazil
-21.7579106,133.6872677,Australia
-21.7590606,-52.1055577,Brazil
-21.7609314,-43.6014197,Brazil
-21.7990865,115.7442605,Australia
-21.8002347,115.1032442,Australia
-21.8078364,-49.6306985,Brazil
-21.8126725,-51.4735538,Brazil
-21.8567183,-50.6879744,Brazil
-21.8719499,148.461566,Australia
-21.8775561,-50.6625441,Brazil
-21.9181731,-42.299438,Brazil
-21.9406049,-40.9872812,Brazil
-21.9459757,-44.4760811,Brazil
-21.9471625,144.662624,Australia
-21.9552334,-47.8828527,Brazil
-21.9560405,26.4919236,Botswana
-21.9971695,-46.1523038,Brazil
-22.0189662,139.5905268,Australia
-22.0212036,-54.8854879,Brazil
-22.0662473,-41.6836365,Brazil
-22.0737786,-51.4191302,Brazil
-22.0745446,-54.7128689,Brazil
-22.0750713,148.0793848,Australia
-22.0859891,-48.7485674,Brazil
-22.0860976,-70.1960545,Chile
-22.0874336,-54.5109771,Brazil
-22.1022662,-50.4830937,Brazil
-22.1026241,-53.4686244,Brazil
-22.1336173,-42.0757458,Brazil
-22.1732179,27.2534966,Botswana
-22.187472,118.0398967,Australia
-22.1894862,-51.183849,Brazil
-22.1904039,-52.7574447,Brazil
-22.2360049,-54.1508058,Brazil
-22.2463355,-53.3388758,Brazil
-22.2651326,21.6500536,Botswana
-22.2782085,-69.5573844,Chile
-22.2811931,-51.5111381,Brazil
-22.2890406,-70.2392529,Chile
-22.2974609,-55.0544886,Brazil
-22.3091979,28.2198694,Botswana
-22.3197502,-69.016017,Chile
-22.326244,-47.169997,Brazil
-22.3346573,-53.3379538,Brazil
-22.3532114,-47.4105428,Brazil
-22.3723539,-44.5036607,Brazil
-22.4032444,-46.4913373,Brazil
-22.4246385,147.4181986,Australia
-22.4334737,-65.7029191,Argentina
-22.4341629,117.8402416,Australia
-22.4360804,-48.5070312,Brazil
-22.4618305,-44.997869,Brazil
-22.4646344,-44.5959178,Brazil
-22.4741592,-48.5561934,Brazil
-22.4766515,-43.2362799,Brazil
-22.4907009,-42.2020134,Brazil
-22.4984096,-65.1017443,Argentina
-22.5197947,-47.1880871,Brazil
-22.5397328,-42.4135564,Brazil
-22.5492373,-43.2497647,Brazil
-22.557815,143.4250938,Australia
-22.5997286,136.7132664,Australia
-22.6125553,148.2460072,Australia
-22.6210067,-43.1602843,Brazil
-22.6233927,-65.6977653,Argentina
-22.6295939,-54.7112006,Brazil
-22.6461221,27.1144976,Botswana
-22.6531854,-152.8170553,French Polynesia
-22.6639821,114.1388431,Australia
-22.6640291,116.2233889,Australia
-22.6746884,145.060729,Australia
-22.680325,117.7500771,Australia
-22.6905596,-46.6809645,Brazil
-22.7037511,21.9532987,Botswana
-22.7085001,-46.9918895,Brazil
-22.713958,-69.197013,Chile
-22.7164935,-42.3897748,Brazil
-22.7205782,-48.6180639,Brazil
-22.7487073,29.9019373,South Africa
-22.7579885,-47.6383491,Brazil
-22.7762903,-48.7988113,Brazil
-22.8267249,-45.2909385,Brazil
-22.8328808,-43.7712074,Brazil
-22.8445878,-43.9782447,Brazil
-22.8488343,145.0764422,Australia
-22.8517436,-51.221001,Brazil
-22.8618768,29.6073798,South Africa
-22.8867063,-43.2803556,Brazil
-22.8957955,-70.2755821,Chile
-22.8962237,149.6181241,Australia
-22.8965555,29.6096452,South Africa
-22.8982564,-50.9719343,Brazil
-22.901046,-51.5195999,Brazil
-22.9090351,-64.6553745,Argentina
-22.9229855,-65.5560422,Argentina
-22.9294297,29.2356141,South Africa
-22.932997,144.6032405,Australia
-23.0039934,-46.8674567,Brazil
-23.0067636,-47.7387925,Brazil
-23.0084125,-46.6502166,Brazil
-23.0133352,-66.3636969,Argentina
-23.0243017,-49.1570168,Brazil
-23.029185,-51.46441,Brazil
-23.0343957,134.6251666,Australia
-23.0400805,-51.4415556,Brazil
-23.0432926,29.5688299,South Africa
-23.0608639,114.5318771,Australia
-23.0879607,-49.3572325,Brazil
-23.1351992,-66.5384255,Argentina
-23.1413625,150.4050959,Australia
-23.1428127,-44.1657156,Brazil
-23.1475396,-65.8172939,Argentina
-23.1559254,113.7686575,Australia
-23.166678,-45.53286,Brazil
-23.1722672,-45.7590222,Brazil
-23.1768635,-46.1516453,Brazil
-23.1779033,150.5644512,Australia
-23.1910068,-44.7274728,Brazil
-23.1917403,29.8665234,South Africa
-23.1934661,-50.6390869,Brazil
-23.1980988,27.4477616,Botswana
-23.1984376,-64.3002286,Argentina
-23.2700815,-55.1806082,Brazil
-23.2893069,-51.5113809,Brazil
-23.2972236,144.6779304,Australia
-23.3189766,-53.8498628,Brazil
-23.3333708,-50.9602269,Brazil
-23.373543,-64.2907155,Argentina
-23.388062,-51.9677204,Brazil
-23.4129338,-45.9967645,Brazil
-23.4418365,-51.9249947,Brazil
-23.4886628,144.5038073,Australia
-23.5101808,17.9674899,Namibia
-23.5170661,31.4836051,South Africa
-23.5191943,150.5512115,Australia
-23.5338007,-46.4928216,Brazil
-23.5340557,-51.2592526,Brazil
-23.5504837,150.5226735,Australia
-23.551893,-46.8310301,Brazil
-23.5523935,-48.4080935,Brazil
-23.5688716,-46.6653375,Brazil
-23.5709794,-46.3337237,Brazil
-23.5735309,28.4095207,South Africa
-23.5813921,-48.1221168,Brazil
-23.5921542,28.3908485,South Africa
-23.6356377,-55.0094105,Brazil
-23.6537169,20.975883,Botswana
-23.6636829,119.7443041,Australia
-23.6721172,-54.7171238,Brazil
-23.694481,-49.8339952,Brazil
-23.7186021,-46.6942568,Brazil
-23.728588,144.4949785,Australia
-23.7353147,-67.8402436,Chile
-23.7537516,-49.6257139,Brazil
-23.7579425,133.7821037,Australia
-23.7718074,-51.3968907,Brazil
-23.7771512,-45.9938758,Brazil
-23.8687904,-51.1876111,Brazil
-23.887021,31.5426211,South Africa
-23.9077513,30.711379,South Africa
-23.9087354,-51.2788342,Brazil
-23.9286302,-49.0057544,Brazil
-23.929589,29.8568518,South Africa
-23.9350307,-52.4657243,Brazil
-23.9379083,23.5049553,Botswana
-23.9482483,132.8898529,Australia
-23.9681318,151.2818483,Australia
-23.9755213,-53.9000973,Brazil
-23.9775896,145.349749,Australia
-23.9792871,-48.1273244,Brazil
-24.0198283,-48.4589553,Brazil
-24.0224672,114.0393034,Australia
-24.0271444,114.038343,Australia
-24.0404123,148.1078355,Australia
-24.0483403,25.021491,Botswana
-24.0631378,150.9077506,Australia
-24.070096,133.6044106,Australia
-24.0772765,-54.2388077,Brazil
-24.0960431,-52.6261774,Brazil
-24.1076184,133.5585669,Australia
-24.1139622,-46.7899888,Brazil
-24.1189921,-52.1591039,Brazil
-24.120068,16.2480041,Namibia
-24.1226286,-47.2708467,Brazil
-24.1242344,25.5958593,Botswana
-24.1436207,113.4598553,Australia
-24.1630702,-52.4828509,Brazil
-24.2009706,-64.3948691,Argentina
-24.2028549,-60.2103374,Argentina
